source_file,question,generated_question
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,How close is the flat to the nearest S-Bahn station?
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,Are there any additional fees or utilities included in the rent for this flat?
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,What amenities are available in the furnished 1-room flat?
20260801_201411_furnished_1_room_flat_near_an_S_Bahn_in_.json,furnished 1-room flat near an S-Bahn in Prenzlauer Berg,"Is the flat currently available for rent, and when can I schedule a viewing?"
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,What is the monthly rent for the large 2-room family rental in Steglitz with a balcony and lift?
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Are there any additional fees or costs associated with renting the 2-room family apartment in Steglitz?
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Can you provide details about the size and layout of the 2-room family rental in Steglitz?
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,Is the large 2-room family rental in Steglitz currently available for immediate move-in?
20260801_201431_large_2_room_family_rental_with_a_balcon.json,large 2-room family rental with a balcony and lift in Steglitz,What amenities are included with the 2-room family rental in Steglitz besides the balcony and lift?
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,"Based on the record, it belongs to the real estate domain. Here are five questions a potential renter or buyer might ask:"
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,What is the monthly rent for the 2-room family rental in Steglitz?
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Does the rental property include any additional amenities besides the balcony and lift?
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,How large is the 2-room family rental in Steglitz in terms of square footage?
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Is the 2-room family rental currently available for immediate move-in?
20260801_201459_2_room_family_rental_with_a_balcony_and_.json,2-room family rental with a balcony and lift in Steglitz,Are there any nearby schools or parks that would be convenient for families living in Steglitz?
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,"The record pertains to real estate, specifically rental market data. Here are five questions a user might ask based on the retrieved record:"
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,What is the average rent per square meter in Kreuzberg for the year 2024?
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,How does the rental price in Kreuzberg compare to other neighborhoods in Berlin for 2024?
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,Are there any trends in rental prices in Kreuzberg over the past few years leading up to 2024?
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,What is the availability of rental listings in Kreuzberg for 2024?
20260801_201556_average_rent_per_m2_in_Kreuzberg_in_2024.json,average rent per m2 in Kreuzberg in 2024,Can you provide information on the factors influencing rent prices in Kreuzberg this year?
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,"The record pertains to real estate, specifically focusing on resale prices versus new construction in Mitte during a period of high mortgage rates. Here are five questions a user might ask based on this record:"
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,What were the average resale prices in Mitte compared to new construction during the time of high mortgage rates?
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Did high mortgage rates affect the demand for resale properties versus new construction in Mitte?
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,How did the price trends for resale homes in Mitte differ from those of new builds during the high mortgage rate period?
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Were there any notable differences in the availability of resale properties versus new construction in Mitte when mortgage rates were elevated?
20260801_201611_how_did_resale_prices_compare_to_new_con.json,how did resale prices compare to new construction in Mitte during high mortgage rates,Can you provide insights on how high mortgage rates influenced buyer preferences between resale and new construction homes in Mitte?
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on that record:"
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How many rental listings were available during the months with the highest mortgage rates?
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide a comparison of rental inventory levels during the highest mortgage rate months?
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260801_201646_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the availability of rental properties fluctuate in relation to the changes in mortgage rates?
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260801_204738_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on this record:"
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How many rental listings were available during the months with the highest mortgage rates?
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide a comparison of rental inventory levels during the highest mortgage rate months?
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months with elevated mortgage rates?
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the availability of rental properties fluctuate in relation to the changes in mortgage rates?
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during those months with the highest mortgage rates?
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on this record:"
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during those months with the highest mortgage rates?
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,"Based on the record provided, it appears to belong to the real estate domain. Here are five questions a user might ask:"
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What are the current rental prices for 2-room apartments in Kreuzberg close to the U-Bahn?
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Are there any available 2-room rentals near a U-Bahn station in Kreuzberg right now?
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Can you provide details on the features of 2-room rentals near U-Bahn in Kreuzberg?
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,How does the rental market in Kreuzberg look for 2-room apartments near U-Bahn stations?
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What is the average size of 2-room rentals available near U-Bahn in Kreuzberg?
