source_file,question,generated_question,similar,similarity_score,rationale
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How many rental listings were available during the months with the highest mortgage rates?,yes,5,"Both questions seek to find the number of rental listings during the months when mortgage rates were highest, effectively asking for the same information."
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide a comparison of rental inventory levels during the highest mortgage rate months?,yes,4,"Both questions seek to understand the relationship between high mortgage rates and rental listings, focusing on inventory levels during those specific months."
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months with elevated mortgage rates?,no,2,"The source question specifically asks for data on mortgage rates and rental listings, while the generated question focuses on rental prices and trends, which is a different aspect."
20260801_230235_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the availability of rental properties fluctuate in relation to the changes in mortgage rates?,no,2,"The source question specifically asks for months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental property availability and mortgage rate changes, which is a different scope."
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:,no,1,The generated question does not ask for the same information as the source question; it is more about generating potential questions rather than seeking specific data on mortgage rates and rental listings.
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with the highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?,yes,5,Both questions seek information about rental listings in relation to the months with the highest mortgage rates.
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?,no,2,"The source question asks for specific months and the number of rental listings during those times, while the generated question seeks to understand the relationship between rental inventory and mortgage rate fluctuations, which is a different focus."
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question specifically asks for data on mortgage rates and rental listings, while the generated question focuses on trends in rental prices, which is a different aspect."
20260801_230420_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?,no,2,"The source question asks for specific months and data on rental listings, while the generated question seeks to understand a correlation, which is a different type of information."
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:,no,1,The generated question does not ask for the same information as the source question; it is more about generating potential questions rather than seeking specific data on mortgage rates and rental listings.
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with the highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during those months with the highest mortgage rates?,yes,5,Both questions seek information about rental listings during the months with the highest mortgage rates.
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?,no,2,"The source question specifically asks for months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental inventory and mortgage rate fluctuations, which is a different aspect."
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question asks specifically about the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on trends in rental prices during those months, which is a different aspect."
20260801_231434_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?,no,2,"The source question asks for specific months and rental listing counts, while the generated question seeks to understand a correlation, which is a different type of information."
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,"The record appears to belong to the real estate domain, specifically regarding mortgage rates and rental listings. Here are five questions a user might ask based on this record:",no,1,"The generated question does not ask for specific information about mortgage rates and rental listings, but rather suggests that there are related questions without providing any."
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during the months with the highest mortgage rates?,yes,5,Both questions seek information about rental listings in relation to the months with the highest mortgage rates.
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?,no,2,"The source question specifically asks for the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental inventory and mortgage rate fluctuations, which is a different aspect."
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question focuses on specific months with high mortgage rates and the number of rental listings, while the generated question asks about trends in rental prices, which is a different aspect of the rental market."
20260802_171836_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?,no,2,"The source question asks for specific months and rental listing counts, while the generated question seeks to explore a correlation, which is a different type of information."
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,The record appears to belong to the real estate domain. Here are five questions a user might ask based on the retrieved record:,no,1,The generated question does not ask for the same information as the source question; it is more about generating potential questions rather than seeking specific data on mortgage rates and rental listings.
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,What were the specific months when mortgage rates peaked in the last year?,no,2,"The source question asks for both the months with highest mortgage rates and the number of rental listings, while the generated question only focuses on the months when mortgage rates peaked."
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Can you provide the number of rental listings available during those months with the highest mortgage rates?,yes,5,Both questions seek the same information about rental listings during the months with the highest mortgage rates.
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,How did the rental inventory change in relation to the fluctuations in mortgage rates?,no,2,"The source question specifically asks for months with the highest mortgage rates and the number of rental listings, while the generated question focuses on the relationship between rental inventory and mortgage rate fluctuations, which is a different aspect."
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Were there any notable trends in rental prices during the months when mortgage rates were at their highest?,no,2,"The source question asks specifically about the months with the highest mortgage rates and the number of rental listings, while the generated question focuses on trends in rental prices during those months, which is a different aspect."
20260802_171926_months_where_mortgage_rates_were_highest.json,months where mortgage rates were highest and how many rental listings there were,Is there a correlation between the highest mortgage rates and the availability of rental properties in the market?,no,2,"The source question asks for specific months and rental listing counts, while the generated question seeks to understand a correlation, which is a different type of information."
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,"Based on the record provided, it appears to belong to the real estate domain. Here are five questions a user might ask:",no,1,The generated question does not ask for the same information as the source question; it is a general statement about real estate questions rather than a specific inquiry about rental properties.
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What are the current rental prices for 2-room apartments in Kreuzberg close to the U-Bahn?,yes,5,Both questions seek information about affordable 2-room rentals near a U-Bahn in Kreuzberg.
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Are there any available 2-room rentals near a U-Bahn station in Kreuzberg right now?,yes,5,Both questions seek information about the availability of cheap 2-room rentals near a U-Bahn in Kreuzberg.
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,Can you provide details on the features of 2-room rentals near U-Bahn in Kreuzberg?,no,2,"The source question asks for affordable rental options, while the generated question seeks information about features of rentals, which is a different focus."
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,How does the rental market in Kreuzberg look for 2-room apartments near U-Bahn stations?,no,2,"The source question asks for specific rental options, while the generated question seeks a general overview of the rental market."
20260802_172119_cheap_2_room_rental_near_a_U_Bahn_in_Kre.json,cheap 2-room rental near a U-Bahn in Kreuzberg,What is the average size of 2-room rentals available near U-Bahn in Kreuzberg?,no,2,"The source question asks for rental prices, while the generated question inquires about the average size of rentals, which is a different aspect."
